"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",-13.0134458767499,-88.2115288236169,-0.91031444105362,-57.9995114532754,-331.939549028613,3.20658545469942,-1.00002698424789,-3.33692725831317,-41.2394649516472,-1.24795771836695,0.304171248131287,-1.29658803494282,-0.337702542280821,-4.11694329637961,-3.29222342962318,-0.651124971616303,-2.18294878963168,-0.292844515083661,-3.349540748319,-24.8435742404912,-4.06486293951067,0.277736814570871,-0.809648518315419,-1.82222318296018,-6.1598323846537,-10.7491416285422,-1.43619432875718,-24.6324791660874,-22.6728502638978,-15.9661841434071,-3.54824833934207,-15.7254235559675,-0.224004406958477,-9.55629461504221,-4.56538301818581,-8.42853503738853,-2.94735372710699,-578.157203505055,-4.62353249773783,565.299806268213
"2",-3.74928355749298,-29.7184193272685,-0.088558870543701,-43.532175733581,-329.438098137066,2.35941300694676,-0.547994373213863,-1.2474885480387,-37.5668201167924,-0.806629473595379,1.72101322477561,-0.802793671992756,0.146084876961338,-2.22769882086771,-1.9149543236881,-0.136388300877038,-1.30466638308448,-0.302365795547777,-3.37805169011937,-24.4753346088061,-4.1326582642871,0.27998427844806,-0.819241991392629,-1.86464708476891,-6.23661268081949,-10.851883925047,-1.48545893135925,-25.0292493234652,-23.6560340554036,-15.8900394128856,-3.14766521535957,-15.3757222985737,-0.246684832577006,-10.0393976194389,-3.834037574985,-8.16205787308638,-2.90386606034429,-574.393580881228,-4.0801363026599,565.173867081254
"3",-2.91238674354495,-21.1224551727177,-1.44137698094582,-95.3599938968523,-1412.92073933519,4.77024599432985,-1.26557997588099,-1.17866907101088,-9.04164020072134,-1.47794118150467,-0.290140202691233,-1.48737874744687,-0.70381575673779,-2.38898073058329,-2.0336146347724,-0.890493205467789,-1.71039464972394,-0.306544856917333,-3.43762591116979,-23.1080316512662,-4.23109653189268,0.26193441518464,-0.823394134437837,-1.77828036912212,-6.37565322093319,-11.0571498435471,-1.64033946510589,-25.9808803972313,-25.7466728181845,-17.9501161206442,-2.89713665995008,-16.2951134733562,-0.227613988619481,-10.3875038226326,-3.22382107040622,-7.92868536613889,-2.67693251818724,-701.192496511778,-3.636042046876,570.26999057498
"4",-4.72459825170222,-38.1134055486527,-0.399330416107066,-245.550941178368,-588.324975700434,3.19181871384973,-0.67173037508079,-1.32704355387257,-77.4990436949718,-0.830470604174671,0.799654071399777,-0.92254749425749,0.0418295277535203,-2.31240743771178,-1.99319442650325,-0.313798855765207,-1.47719627967494,-0.316174589479545,-3.41186368003767,-23.9589957481004,-4.38221957814089,0.252771943266925,-0.828781779728241,-1.92944128317441,-6.30775196196168,-10.9597914850984,-1.55281036668722,-25.1276804988642,-23.6703391807378,-13.5145187037782,-2.53662209517563,-15.5242815942263,-0.219698517407991,-9.93606295984935,-6.11703012368804,-7.17943827790303,-2.74895848415175,-634.172283815951,-3.15430887775412,566.621233832529
"5",-6.331904129905,-58.2557189029254,-1.32016004045061,-98.0968278907247,-334.270073356654,3.82598133002201,-1.26559055160731,-1.96943609786549,-38.6766324867821,-1.50272965093039,-0.213303697244995,-1.53724238226724,-0.671106672949325,-3.27632001818983,-2.92698755687057,-0.882061113393034,-2.23885830240421,-0.312669328508292,-3.39278829514567,-24.4088612478641,-4.21742616487903,0.260413889840765,-0.825573390575263,-1.87316635977413,-6.25972094266473,-10.8686799212523,-1.61100978308256,-25.1819623771777,-24.7838441105202,-16.6908392663633,-3.19983470727919,-16.5570113602846,-0.232457537756399,-10.4573177672346,-3.24186684106126,-8.3891524814836,-2.96350755318155,-576.712760225015,-4.16888428888636,565.176987282082
"6",-3.01004447891617,-45.6031985403172,-0.988511813546341,-141.842659879786,-623.117250844501,4.25465773203337,-1.11572528933198,-1.08637142937858,-56.8924032444375,-1.32138361432809,-0.197710086097711,-1.32447329525229,-0.597712484142613,-2.30644498944228,-2.09236103141699,-0.713604351861901,-1.79038818730051,-0.334629602224933,-3.4835658119185,-24.1485841907597,-4.41921179305489,0.247204874600917,-0.843398828018954,-1.92476843576675,-6.48990979067711,-11.1080315006026,-1.84309048179061,-26.4601147367815,-27.5373817875844,-17.677004196626,-2.60253756299374,-17.3785060362314,-0.235061888725808,-11.7303298002141,-2.56572726926413,-8.1365315699493,-2.89607402186386,-556.143215981892,-3.34100215416472,566.803027784051
"7",-2.66590271034785,-19.6531706180346,-0.618738226471836,-59.850036182199,-402.561321385871,3.9305769403967,-0.812245071215017,-0.888027177464136,-35.0496914824055,-1.02184397810805,0.364233272378673,-1.03058309314456,-0.211897761558373,-1.96438087415462,-1.69120532909111,-0.440395326908286,-1.40862897465582,-0.305604335569363,-3.42189254479116,-25.0219577752676,-4.23925917817312,0.267890481462348,-0.822088013864027,-1.82158838290338,-6.3585960070228,-11.0397456994892,-1.5891685820461,-26.1771119305115,-25.2725175556107,-16.8557161480316,-2.69047170928715,-16.134419163286,-0.23133414729153,-10.3058206401933,-3.63562355704655,-7.8738052447151,-2.66074851108689,-581.906186380964,-3.51709517394608,565.375143129192
"8",-0.94061981319564,-4.45805896411345,-0.109603716211576,-23.5791307401816,-665.361777991913,3.86376804006956,-0.384469167864113,-0.183011126576496,-3.23318501136216,-0.56533189861409,2.61429791157019,-0.562451381883911,0.359538026990564,-1.08536436848078,-0.765227868651748,-0.00148070065999163,-0.614844488408669,-0.267021334048209,-3.39669762670916,-24.6551110907366,-4.05092758192505,0.293507468641363,-0.796088920086918,-1.61495186890353,-6.31948200380222,-11.1414603577158,-1.43219329525709,-26.6620128222565,-23.7300555106339,-17.2699771976189,-2.71429203402427,-14.3537126537752,-0.209293282358972,-8.93820123019755,-5.21147207628522,-7.44049668737216,-2.18336143127474,-692.675064036429,-3.5158617495308,566.515490704048
"9",-4.35823784180433,-18.3992125896478,-0.565052779833411,-28.1460347457915,-328.298266644642,3.17854444774862,-0.693855743490237,-1.57887577035299,-35.616074791126,-0.90932317611965,1.64051074535241,-0.957552362858718,0.0487292107832152,-2.49376528529164,-1.95300045890243,-0.377065547793849,-1.47439244687054,-0.257485864260404,-3.33577972915486,-25.3343116000432,-3.8314043648585,0.304953093695703,-0.78028582731354,-1.6109172015828,-6.12227265734466,-10.7897144479438,-1.28594849518445,-24.8287219120849,-20.6774146309856,-17.7166582322609,-3.77274944392349,-14.9826213488154,-0.185222516040535,-8.4887523478118,-6.90423759274417,-8.57944439391056,-2.70072577633768,-571.73126939306,-5.28612830568797,565.102225875018
"10",-0.556113007310993,-6.82754572774996,0.0831875988686026,-39.6535730366055,-434.9980012132,3.42976148839624,-0.361827229780183,-0.0124226070566649,-2.9786031585241,-0.504355170400867,0.838947601808763,-0.515957837756199,0.232844196335957,-0.95561916291241,-0.653047360415043,0.0715812619445042,-0.515874401328075,-0.338631705981801,-3.56491080059438,-24.3835328949091,-4.5833907154528,0.243665992451717,-0.852463259985093,-1.81203740385068,-6.73441709397868,-11.5356029938788,-1.89705395415039,-27.7696554078993,-29.6849810902586,-17.5860562187372,-2.30717233581138,-17.5124488855163,-0.247188509407215,-11.6317310961518,-3.23918760045613,-7.54619445295674,-2.45698282279343,-574.614298635593,-2.88441232155885,565.337671112947
"11",-2.14067347207304,-39.7956056033749,-0.410444022522658,-83.9017451775009,-528.087996013403,3.56819828709945,-0.765609820021477,-0.703908589887171,-40.7290802124566,-0.966705178696026,0.219873076115123,-0.954991633429613,-0.24976112717802,-1.78344459148027,-1.59304375923148,-0.343460156596755,-1.35764486498164,-0.339764650061449,-3.50137740845383,-24.2438498690064,-4.45551907021259,0.247695419067201,-0.848494634596783,-1.94022172891788,-6.54157260013909,-11.1892361343155,-1.88357001421884,-26.5746508058437,-28.095149413304,-18.5491284916054,-2.6871592604556,-17.8458422924293,-0.241322950165767,-12.0836218412823,-2.43767321775853,-8.41649834348381,-2.94881812841911,-526.727144656877,-3.4733635089196,566.132540338726
